lattitude,longitude,time
-30.1287,99.2341,2022-10-12 15:28:24.156431
-32.8537,102.3706,2022-10-12 15:29:25.398992
-35.4601,105.6902,2022-10-12 15:30:26.666534
-37.9538,109.2437,2022-10-12 15:31:27.910297
-40.316,113.0577,2022-10-12 15:32:29.146229
-42.5426,117.1918,2022-10-12 15:33:30.386956
-44.5732,121.5991,2022-10-12 15:34:31.637273
-49.316,-179.4982,2022-10-12 15:45:09.292030
-47.9629,-174.0996,2022-10-12 15:46:10.463281
-46.3608,-169.0563,2022-10-12 15:47:11.642218
-44.5281,-164.3357,2022-10-12 15:48:12.822075
-42.4926,-159.9344,2022-10-12 15:49:13.995473
-40.2802,-155.8387,2022-10-12 15:50:15.166949
-37.9151,-152.0277,2022-10-12 15:51:16.334044
-35.3978,-148.4489,2022-10-12 15:52:17.522590
-32.7879,-145.1336,2022-10-12 15:53:18.696657
-30.082,-142.0253,2022-10-12 15:54:19.907875
-27.2946,-139.0986,2022-10-12 15:55:21.077910
-24.4385,-136.3296,2022-10-12 15:56:22.264924
-21.5005,-133.6749,2022-10-12 15:57:23.447042
-18.5378,-131.1563,2022-10-12 15:58:24.629535
-15.5359,-128.7331,2022-10-12 15:59:25.798999
-12.502,-126.3868,2022-10-12 16:00:26.963308
-9.4436,-124.1012,2022-10-12 16:01:28.166741
-6.3669,-121.8604,2022-10-12 16:02:29.360818
-3.2527,-119.6311,2022-10-12 16:03:30.530532
-0.1575,-117.4349,2022-10-12 16:04:31.697812
2.9384,-115.2391,2022-10-12 16:05:32.868005
6.0288,-113.0297,2022-10-12 16:06:34.035654
9.1082,-110.7919,2022-10-12 16:07:35.239006
12.1705,-108.5106,2022-10-12 16:08:36.464507
15.234,-106.1506,2022-10-12 16:09:37.690389
18.2421,-103.7334,2022-10-12 16:10:38.869615
21.2119,-101.2224,2022-10-12 16:11:40.059254
24.1347,-98.5985,2022-10-12 16:12:41.229985
27.0009,-95.841,2022-10-12 16:13:42.412409
